[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11], Level
[1248, 153, 8.156862745098039, 2.9019607843137254, 2.418300653594771, 1.3660130718954249, 0.1568627450980392, 3.6143790849673203, 0.1267283842209155, 1.144736842105263, 0.21052631578947367, -3130.907343483945], N2
[1539, 194, 7.93298969072165, 2.6907216494845363, 2.2989690721649483, 1.2835051546391754, 0.21649484536082475, 3.3969072164948453, 0.11701829046398246, 0.9430051813471503, 0.22279792746113988, -3944.0194435258422], N2
[1571, 236, 6.656779661016949, 2.4703389830508473, 2.059322033898305, 1.0720338983050848, 0.11016949152542373, 3.0042372881355934, 0.09254041552022249, 0.6808510638297872, 0.15319148936170213, -4107.710631187311], N2
[1446, 174, 8.310344827586206, 2.954022988505747, 2.528735632183908, 1.4367816091954022, 0.15517241379310345, 3.5977011494252875, 0.10379265882537402, 0.9595375722543352, 0.15028901734104047, -3701.32067269923], N2
[1169, 175, 6.68, 2.4685714285714284, 1.8342857142857143, 1.2228571428571429, 0.14285714285714285, 2.857142857142857, 0.08620341691442411, 0.7011494252873564, 0.08620689655172414, -2963.3526934953156], N2
[1528, 252, 6.063492063492063, 2.3333333333333335, 1.9087301587301588, 0.9682539682539683, 0.0873015873015873, 2.6825396825396823, 0.09402735554215338, 0.6374501992031872, 0.12350597609561753, -3924.0991963404263], N2
[1497, 174, 8.60344827586207, 3.0057471264367814, 2.413793103448276, 1.5114942528735633, 0.16666666666666666, 3.706896551724138, 0.1376536955906175, 1.260115606936416, 0.1676300578034682, -3738.700828249762], N2
[760, 99, 7.6767676767676765, 2.8585858585858586, 2.6262626262626263, 1.1717171717171717, 0.06060606060606061, 3.4242424242424243, 0.10094304250632008, 0.826530612244898, 0.17346938775510204, -2002.6348744002999], N3
[658, 101, 6.514851485148514, 2.4752475247524752, 1.7722772277227723, 1.1287128712871286, 0.13861386138613863, 2.99009900990099, 0.08389063906663154, 0.68, 0.07, -1705.6345204771194], N3
[820, 115, 7.130434782608695, 2.7043478260869565, 2.1739130434782608, 1.2260869565217392, 0.05217391304347826, 3.1826086956521737, 0.0938776616270396, 0.7982456140350878, 0.16666666666666666, -2114.1443166661106], N3
[842, 95, 8.863157894736842, 2.968421052631579, 2.7263157894736842, 1.6, 0.12631578947368421, 3.642105263157895, 0.1312889059740972, 1.2127659574468086, 0.18085106382978725, -2132.0158567461667], N3
[59, 21, 2.8095238095238093, 1.2857142857142858, 0.9523809523809523, 0.14285714285714285, 0.047619047619047616, 1.380952380952381, 0.08838834764831843, 0.25, 0.1, -157.09743333786412], N4
[65, 20, 3.25, 1.45, 1.05, 0.0, 0.35, 1.45, 0.12642718020263963, 0.5263157894736842, 0.0, -171.8900703787268], N4
[74, 17, 4.352941176470588, 1.9411764705882353, 1.5294117647058822, 0.0, 0.47058823529411764, 1.9411764705882353, 0.4127436381966052, 1.75, 0.3125, -199.70743962408494], N4
[103, 21, 4.904761904761905, 2.0, 1.4761904761904763, 0.2857142857142857, 0.38095238095238093, 2.2857142857142856, 0.16648338814654895, 1.0, 0.35, -255.75480882225477], N4
[112, 23, 4.869565217391305, 1.7826086956521738, 2.5217391304347827, 0.2608695652173913, 0.043478260869565216, 1.9130434782608696, 0.23158039164445912, 1.2272727272727273, 0.5, -302.78373670728496], N4
[121, 24, 5.041666666666667, 1.6666666666666667, 1.7916666666666667, 0.4166666666666667, 0.08333333333333333, 2.0, 0.1345485521007558, 0.6956521739130435, 0.21739130434782608, -321.30458182715347], N4
[83, 23, 3.608695652173913, 1.391304347826087, 1.173913043478261, 0.4782608695652174, 0.08695652173913043, 1.6956521739130435, 0.014465547127886641, 0.09090909090909091, 0.045454545454545456, -225.0760639258632], N4
[99, 24, 4.125, 1.5, 1.125, 0.4583333333333333, 0.08333333333333333, 1.7916666666666667, 0.07587738379699326, 0.34782608695652173, 0.043478260869565216, -257.568564368933], N4
[73, 22, 3.3181818181818183, 1.5454545454545454, 0.8181818181818182, 0.045454545454545456, 0.2727272727272727, 1.7272727272727273, 0.03474301954943775, 0.14285714285714285, 0.047619047619047616, -194.2904278939291], N4
[112, 23, 4.869565217391305, 1.9130434782608696, 1.3478260869565217, 0.17391304347826086, 0.043478260869565216, 2.3043478260869565, 0.10923999455915152, 0.5454545454545454, 0.09090909090909091, -296.955084200005], N4
[104, 22, 4.7272727272727275, 1.8181818181818181, 1.2272727272727273, 0.36363636363636365, 0.13636363636363635, 2.227272727272727, 0.04995293764307809, 0.3333333333333333, 0.0, -280.28915257076926], N4
[142, 30, 4.733333333333333, 1.8666666666666667, 1.5666666666666667, 0.3, 0.2, 2.3333333333333335, 0.10108841924014399, 0.5517241379310345, 0.1724137931034483, -389.05351018658257], N4
[150, 21, 7.142857142857143, 2.0476190476190474, 3.0476190476190474, 0.3333333333333333, 0.19047619047619047, 2.761904761904762, 0.12068210663402498, 1.25, 0.45, -421.7945076882083], N4
[130, 30, 4.333333333333333, 1.7666666666666666, 0.9666666666666667, 0.7666666666666667, 0.03333333333333333, 1.9333333333333333, 0.018130462864248572, 0.06896551724137931, 0.0, -340.9916892712957], N4
[130, 34, 3.823529411764706, 1.4705882352941178, 0.6470588235294118, 0.7058823529411765, 0.0, 1.7058823529411764, 0.05745677303890025, 0.2727272727272727, 0.0, -341.2800020745177], N4
[147, 30, 4.9, 2.0, 1.3666666666666667, 0.3333333333333333, 0.16666666666666666, 2.2, 0.09637348476315652, 0.4482758620689655, 0.034482758620689655, -395.9971734094092], N4
[107, 24, 4.458333333333333, 1.875, 0.8333333333333334, 0.375, 0.16666666666666666, 1.9583333333333333, 0.08896294585743497, 0.4782608695652174, 0.08695652173913043, -270.56943330382774], N4
[116, 25, 4.64, 1.84, 1.08, 0.56, 0.12, 2.16, 0.10986915988608575, 0.5833333333333334, 0.125, -314.69469353445174], N4
[132, 29, 4.551724137931035, 1.5172413793103448, 0.9310344827586207, 0.6206896551724138, 0.06896551724137931, 1.6206896551724137, 0.09213593466955472, 0.39285714285714285, 0.03571428571428571, -336.331240426536], N4
[149, 26, 5.730769230769231, 2.1538461538461537, 1.6153846153846154, 0.6538461538461539, 0.11538461538461539, 2.6153846153846154, 0.08346985007401037, 0.64, 0.08, -378.41572937741466], N4
[165, 32, 5.15625, 2.0, 1.09375, 0.78125, 0.03125, 2.28125, 0.038775191718149735, 0.25806451612903225, 0.0, -405.4509432371135], N4
[133, 40, 3.325, 1.45, 1.1, 0.225, 0.075, 1.6, 0.034823150047641506, 0.1282051282051282, 0.05128205128205128, -384.6872837381225], N4
[160, 31, 5.161290322580645, 1.903225806451613, 1.0, 0.7419354838709677, 0.0967741935483871, 2.161290322580645, 0.13746764606357834, 0.8, 0.1, -401.0970782624489], N4
[134, 32, 4.1875, 1.53125, 1.03125, 0.5, 0.125, 1.8125, 0.06988229491360907, 0.2903225806451613, 0.03225806451612903, -354.54782946553206], N4
[38, 13, 2.923076923076923, 1.3076923076923077, 1.1538461538461537, 0.0, 0.07692307692307693, 1.3076923076923077, 0.1389987186334645, 0.5, 0.0, -105.07537915912694], N4
[118, 33, 3.5757575757575757, 1.4545454545454546, 0.8181818181818182, 0.18181818181818182, 0.42424242424242425, 1.4848484848484849, 0.13225543109716953, 0.5625, 0.03125, -312.0248584880657], N4
[97, 28, 3.4642857142857144, 1.3214285714285714, 0.7857142857142857, 0.42857142857142855, 0.03571428571428571, 1.5714285714285714, 0.0873557480427978, 0.3333333333333333, 0.14814814814814814, -252.2641931559932], N4
[135, 37, 3.6486486486486487, 1.4054054054054055, 0.9459459459459459, 0.2972972972972973, 0.02702702702702703, 1.5675675675675675, 0.10823324039373806, 0.5555555555555556, 0.05555555555555555, -344.8289119114179], N4
[133, 32, 4.15625, 1.65625, 1.40625, 0.1875, 0.03125, 1.84375, 0.05234689024860548, 0.3225806451612903, 0.03225806451612903, -363.33994412805066], N4
[144, 45, 3.2, 1.4666666666666666, 0.7777777777777778, 0.5333333333333333, 0.0, 1.5555555555555556, 0.010802109141011233, 0.06818181818181818, 0.022727272727272728, -391.12233233257894], N4
[168, 36, 4.666666666666667, 1.6944444444444444, 0.9722222222222222, 0.6666666666666666, 0.19444444444444445, 1.8888888888888888, 0.07766863669046713, 0.45714285714285713, 0.02857142857142857, -407.95659094438037], N4
[121, 25, 4.84, 1.76, 1.0, 0.96, 0.2, 1.96, 0.08557829920650516, 0.5416666666666666, 0.125, -298.4071925738611], N4
[127, 28, 4.535714285714286, 1.5714285714285714, 1.25, 0.5357142857142857, 0.03571428571428571, 1.8571428571428572, 0.06602760062409525, 0.3333333333333333, 0.037037037037037035, -330.20583704411956], N4
[169, 33, 5.121212121212121, 1.878787878787879, 1.2121212121212122, 0.6363636363636364, 0.12121212121212122, 2.090909090909091, 0.04846938356605727, 0.34375, 0.0625, -432.2711921507948], N4
